SBU,Year,Country,Sold-to Code (Number version),# Products,Net Sales (EUR),Base Quantity (Volume-tons)
APF,2018,Argentina,1918024,45,1804541.68,98.737036
APF,2018,Argentina,1921193,3,32254.69,0.861
APF,2018,Argentina,1927398,6,99261.92,4.28222
APF,2018,Argentina,1942246,5,113828.62,9.96
APF,2018,Argentina,1950194,20,281916.1,14.71088
APF,2018,Argentina,1956055,8,4579.96,0.21
APF,2018,Argentina,1961530,2,7629.91,0.21
APF,2018,Argentina,1965617,8,5192.22,0.36
APF,2018,Argentina,1974335,6,145908,9.646
APF,2018,Argentina,2037100,1,50576.92,3.18
APF,2018,Argentina,2146546,22,10324.65,0.525
APF,2018,Argentina,2197684,24,488575.28,25.9756
APF,2018,Argentina,2209157,29,81043.64,5.36
APF,2018,Argentina,2234264,6,13030.76,0.559655
APF,2018,Argentina,2254825,5,12081.32,1.7074
APF,2018,Argentina,2399981,24,160169.84,9.661
APF,2018,Argentina,2427836,2,258426.47,29.344
APF,2018,Argentina,2476947,6,260543.34,15.9
APF,2018,Argentina,2480053,5,12352.65,0.17285
APF,2018,Argentina,2481016,3,40919.08,1.69486
APF,2018,Argentina,2502033,9,21412.09,1.06
APF,2018,Argentina,2510915,12,101083.97,11.7325
APF,2018,Argentina,2525893,1,32336.28,1.8656
APF,2018,Argentina,2543956,3,29703.75,1.26
APF,2018,Argentina,2602610,15,14219.7,0.5068
APF,2018,Argentina,2602640,8,21721.73,0.9476
APF,2018,Argentina,2603679,2,51022.16,3.18
APF,2018,Argentina,2603740,15,-5171.56,-1.06
APF,2018,Argentina,2603741,4,7522.06,0.10371
APF,2018,Argentina,2603747,10,16614.08,0.735
APF,2018,Argentina,2603797,17,-23008.55,-2.1716
APF,2018,Argentina,2603872,8,8712.57,0.11
APF,2018,Argentina,2606882,11,10087.47,0.398
APF,2018,Argentina,2608519,6,484.75,0.0105
APF,2018,Argentina,2734827,4,39492.79,1.7284
APF,2018,Argentina,2829218,4,6448.9,0.2968
APF,2018,Argentina,2836406,3,63027.92,3.18
APF,2018,Argentina,2888131,1,26826.23,0.735
APF,2018,Argentina,2901627,5,0,0
APF,2018,Argentina,2901802,24,61638.3,2.7984
APF,2018,Argentina,2915843,3,20302.65,0.924
APF,2018,Argentina,2968246,9,5837.28,0.5
APF,2018,Argentina,3007396,11,68168.37,3.392
APF,2018,Argentina,3061534,29,174990.1,10.0164
APF,2018,Argentina,3068560,6,108230.99,8.51796
APF,2018,Argentina,3160749,12,57800.01,2.70296
APF,2018,Argentina,3190723,4,17904.39,0.794715
APF,2018,Argentina,3197021,17,130873.6,7.48
APF,2018,Argentina,3200257,22,93024.05,3.71
APF,2018,Argentina,3202389,5,41927.51,1.963
APF,2018,Argentina,3223411,3,9925.75,0.5796
APF,2018,Argentina,3239721,2,140935.4,5.036966
APF,2018,Argentina,3239777,2,92337.8,4.13229
APF,2018,Argentina,3247310,3,116673.82,12.344
APF,2018,Argentina,3249187,13,45581.76,2.036
APF,2018,Argentina,3310653,6,67983.64,10.7827
APF,2018,Argentina,3317193,12,28083.34,0.873
APF,2018,Argentina,3337147,4,102809.88,2.856871
APF,2018,Argentina,3349044,9,50426.6,2.761215
APF,2018,Argentina,3359694,12,77164.21,3.274
APF,2018,Argentina,3365349,2,13037.69,0.315
APF,2018,Argentina,3380637,4,1283.72,0.25
APF,2018,Argentina,3381968,12,4267.49,0.3
